Clade,Type,sampling_ratio,Ratios
Brassicales,Rpanda_rate,0.268583831,0.751412828
Celastrales,Rpanda_rate,0.729537367,1.134371294
Crossosomatales,Rpanda_rate,1,1.03591793
Cucurbitales,Rpanda_rate,0.5202781,1.243057744
Fabales,Rpanda_rate,0.373547024,1.01150043
Fagales,Rpanda_rate,0.512962963,1.24494379
Geraniales,Rpanda_rate,0.390163934,1.448863597
Huerteales,Rpanda_rate,1,0.9361702
Malpighiales,Rpanda_rate,0.484488108,0.966851371
Malvales,Rpanda_rate,0.578206079,1.092568027
Myrtales,Rpanda_rate,0.494537509,0.960996937
Oxalidales,Rpanda_rate,0.512953368,1.454458686
Picramniales,Rpanda_rate,1,1.008272065
Rosales,Rpanda_rate,0.423614997,1.508476332
Sapindales,Rpanda_rate,0.605997211,1.201152837
Vitales,Rpanda_rate,0.403361345,7.40651388
Zygophyllales,Rpanda_rate,0.661971831,1.586561397
Brassicales,DR_rate,0.268583831,0.2403542
Celastrales,DR_rate,0.729537367,0.838684003
Crossosomatales,DR_rate,1,1.099076243
Cucurbitales,DR_rate,0.5202781,0.706833233
Fabales,DR_rate,0.373547024,0.297532827
Fagales,DR_rate,0.512962963,0.560946057
Geraniales,DR_rate,0.390163934,0.478496678
Huerteales,DR_rate,1,0.974535343
Malpighiales,DR_rate,0.484488108,0.37378401
Malvales,DR_rate,0.578206079,0.57431879
Myrtales,DR_rate,0.494537509,0.392593122
Oxalidales,DR_rate,0.512953368,0.482311723
Picramniales,DR_rate,1,0.972450292
Rosales,DR_rate,0.423614997,0.541109759
Sapindales,DR_rate,0.605997211,0.747706025
Vitales,DR_rate,0.403361345,0.198509524
Zygophyllales,DR_rate,0.661971831,0.796831094
Brassicales,BAMM_spR,0.268583831,1.771595324
Celastrales,BAMM_spR,0.729537367,2.152271058
Crossosomatales,BAMM_spR,1,0.972365095
Cucurbitales,BAMM_spR,0.5202781,2.105360267
Fabales,BAMM_spR,0.373547024,1.705022466
Fagales,BAMM_spR,0.512962963,1.451919219
Geraniales,BAMM_spR,0.390163934,0.749198102
Huerteales,BAMM_spR,1,0.880700679
Malpighiales,BAMM_spR,0.484488108,1.40816026
Malvales,BAMM_spR,0.578206079,1.570801048
Myrtales,BAMM_spR,0.494537509,1.007117238
Oxalidales,BAMM_spR,0.512953368,1.092653594
Picramniales,BAMM_spR,1,1.022447373
Rosales,BAMM_spR,0.423614997,1.528618793
Sapindales,BAMM_spR,0.605997211,2.881170708
Vitales,BAMM_spR,0.403361345,1.452649607
Zygophyllales,BAMM_spR,0.661971831,1.251229391
Brassicales,BAMM_tipR,0.268583831,0.810362512
Celastrales,BAMM_tipR,0.729537367,1.2494455
Crossosomatales,BAMM_tipR,1,1.081726112
Cucurbitales,BAMM_tipR,0.5202781,1.217305598
Fabales,BAMM_tipR,0.373547024,0.999895003
Fagales,BAMM_tipR,0.512962963,1.640188992
Geraniales,BAMM_tipR,0.390163934,1.036476044
Huerteales,BAMM_tipR,1,1.034483668
Malpighiales,BAMM_tipR,0.484488108,1.021815898
Malvales,BAMM_tipR,0.578206079,1.001889467
Myrtales,BAMM_tipR,0.494537509,0.810187899
Oxalidales,BAMM_tipR,0.512953368,1.110206027
Picramniales,BAMM_tipR,1,1.023007555
Rosales,BAMM_tipR,0.423614997,1.3287578
Sapindales,BAMM_tipR,0.605997211,1.340008364
Vitales,BAMM_tipR,0.403361345,1.188191001
Zygophyllales,BAMM_tipR,0.661971831,1.308502789
