Clade,Model,lamda,AICc
Brassicales,bcst.d0,0.156375,3970.276427
Brassicales,bcst.dcst,0.776334514,3690.626521
Brassicales,bvar.d0,0.26526144,3759.347153
Brassicales,bvar.l.d0,0.220525358,3787.571239
Brassicales,bvar.dcst,0.707917183,3688.800788
Brassicales,bvar.l.dcst,0.70951715,3688.832305
Brassicales,bcst.dvar,0.71047334,3688.834568
Brassicales,bcst.dvar.l,0.709453031,3688.832345
Brassicales,bvar.dvar,0.701490164,3690.781586
Celastrales,bcst.d0,0.1951875,1520.073508
Celastrales,bcst.dcst,1.026946337,1362.929404
Celastrales,bvar.d0,0.366503292,1372.752479
Celastrales,bvar.l.d0,0.264455558,1408.833707
Celastrales,bvar.dcst,0.843496381,1355.533439
Celastrales,bvar.l.dcst,0.374646656,1379.997317
Celastrales,bcst.dvar,0.861120314,1355.920906
Celastrales,bcst.dvar.l,0.852394773,1355.740571
Celastrales,bvar.dvar,0.784016697,1355.856191
Crossosomatales,bcst.d0,0.060205078,201.8774253
Crossosomatales,bcst.dcst,0.307476344,185.8034831
Crossosomatales,bvar.d0,0.140932538,189.8818099
Crossosomatales,bvar.l.d0,0.10486435,191.5032256
Crossosomatales,bvar.dcst,0.324055344,188.369016
Crossosomatales,bvar.l.dcst,0.324291156,188.3675386
Crossosomatales,bcst.dvar,0.324588248,188.3669141
Crossosomatales,bcst.dvar.l,0.324524603,188.3675252
Crossosomatales,bvar.dvar,0.140234318,195.4161135
Cucurbitales,bcst.d0,0.206648438,3248.12276
Cucurbitales,bcst.dcst,0.902701941,2982.958975
Cucurbitales,bvar.d0,0.354672848,2965.894557
Cucurbitales,bvar.l.d0,0.263721057,3045.450585
Cucurbitales,bvar.dcst,0.354055071,2967.923768
Cucurbitales,bvar.l.dcst,0.389944666,2964.218455
Cucurbitales,bcst.dvar,0.755126894,2957.578534
Cucurbitales,bcst.dvar.l,0.738849527,2956.312027
Cucurbitales,bvar.dvar,0.623293993,2945.123512
Fabales,bcst.d0,0.176625,17082.69741
Fabales,bcst.dcst,1.30515841,14884.70343
Fabales,bvar.d0,0.351140762,15559.47926
Fabales,bvar.l.d0,0.271028424,15833.43207
Fabales,bvar.dcst,1.29482683,14886.58803
Fabales,bvar.l.dcst,1.295564785,14886.62301
Fabales,bcst.dvar,1.294958823,14886.59036
Fabales,bcst.dvar.l,1.294716841,14886.62291
Fabales,bvar.dvar,1.220489677,14889.49665
Fagales,bcst.d0,0.215226563,2175.150864
Fagales,bcst.dcst,2.522276737,1581.854582
Fagales,bvar.d0,0.589479717,1731.181818
Fagales,bvar.l.d0,0.343423206,1877.025015
Fagales,bvar.dcst,0.589632799,1733.226016
Fagales,bvar.l.dcst,0.545148778,1759.084769
Fagales,bcst.dvar,2.607864776,1582.979734
Fagales,bcst.dvar.l,2.608917682,1582.967436
Fagales,bvar.dvar,2.766445992,1586.579708
Geraniales,bcst.d0,0.126914063,1024.488528
Geraniales,bcst.dcst,1.175638511,853.5773013
Geraniales,bvar.d0,0.303696842,897.5662224
Geraniales,bvar.l.d0,0.194827755,938.5701773
Geraniales,bvar.dcst,0.303729531,899.6715671
Geraniales,bvar.l.dcst,1.135754714,855.415426
Geraniales,bcst.dvar,1.134811638,855.4151685
Geraniales,bcst.dvar.l,1.134024074,855.4154112
Geraniales,bvar.dvar,1.124497982,857.5151037
Huerteales,bcst.d0,0.03403125,53.34170594
Huerteales,bcst.dcst,0.034026394,57.54170703
Huerteales,bvar.d0,0.023629751,57.25486766
Huerteales,bvar.l.d0,0.040642455,56.4587331
Huerteales,bvar.dcst,0.023627404,64.25486942
Huerteales,bvar.l.dcst,0.022535673,64.25943798
Huerteales,bcst.dvar,0.03404613,64.54171151
Huerteales,bcst.dvar.l,0.185659087,62.7736454
Huerteales,bvar.dvar,0.121698861,77.71125637
Malpighiales,bcst.d0,0.146882813,15767.08442
Malpighiales,bcst.dcst,1.012875368,13940.18386
Malpighiales,bvar.d0,0.288632101,14403.68326
Malpighiales,bvar.l.d0,0.214876606,14709.38511
Malpighiales,bvar.dcst,0.96519205,13936.26822
Malpighiales,bvar.l.dcst,0.3024964,14432.48315
Malpighiales,bcst.dvar,0.966951517,13936.45986
Malpighiales,bcst.dvar.l,0.965923841,13936.40012
Malpighiales,bvar.dvar,0.943489204,13935.88239
Malvales,bcst.d0,0.22725,5794.381834
Malvales,bcst.dcst,1.612789573,5017.516737
Malvales,bvar.d0,0.436715492,5238.273782
Malvales,bvar.l.d0,0.293824254,5435.255987
Malvales,bvar.dcst,1.499222819,5011.102769
Malvales,bvar.l.dcst,0.464095591,5244.907144
Malvales,bcst.dvar,1.50493742,5011.207165
Malvales,bcst.dvar.l,1.50159481,5011.171817
Malvales,bvar.dvar,1.475620779,5012.366195
Myrtales,bcst.d0,0.207984375,5717.057298
Myrtales,bcst.dcst,2.318292149,4809.075597
Myrtales,bvar.d0,0.440022511,5077.451776
Myrtales,bvar.l.d0,0.32580529,5238.869314
Myrtales,bvar.dcst,2.222873888,4809.725501
Myrtales,bvar.l.dcst,2.225509518,4809.748123
Myrtales,bcst.dvar,2.226530632,4809.736494
Myrtales,bcst.dvar.l,2.226401796,4809.74813
Myrtales,bvar.dvar,2.190778143,4811.558661
Oxalidales,bcst.d0,0.152332031,904.2726951
Oxalidales,bcst.dcst,1.811537349,755.2814262
Oxalidales,bvar.d0,0.355543835,775.113762
Oxalidales,bvar.l.d0,0.232557062,813.4359092
Oxalidales,bvar.dcst,0.355630233,777.2414271
Oxalidales,bvar.l.dcst,0.340134415,794.0097842
Oxalidales,bcst.dvar,0.152091643,908.4847013
Oxalidales,bcst.dvar.l,1.485597464,753.6033075
Oxalidales,bvar.dvar,1.373376785,755.2126519
Picramniales,bcst.d0,0.077132813,33.29763549
Picramniales,bcst.dcst,0.610195816,36.86142753
Picramniales,bvar.d0,0.22543631,37.78017272
Picramniales,bvar.l.d0,0.153263025,37.96262584
Picramniales,bvar.dcst,0.798044638,56.74729464
Picramniales,bvar.l.dcst,0.815370664,56.73472523
Picramniales,bcst.dvar,0.836292049,56.71898702
Picramniales,bcst.dvar.l,0.298188034,57.68877136
Picramniales,bvar.dvar,2.113554622,Inf
Rosales,bcst.d0,0.185976563,6691.528886
Rosales,bcst.dcst,3.836176828,4967.851738
Rosales,bvar.d0,0.503397051,5742.572244
Rosales,bvar.l.d0,0.303685768,6100.81879
Rosales,bvar.dcst,4.126245216,4958.959064
Rosales,bvar.l.dcst,0.462068879,5900.634054
Rosales,bcst.dvar,4.129662093,4958.877546
Rosales,bcst.dvar.l,4.129392637,4958.906934
Rosales,bvar.dvar,4.609889289,4950.388931
Sapindales,bcst.d0,0.199757813,6175.319956
Sapindales,bcst.dcst,0.762116465,5746.997977
Sapindales,bvar.d0,0.337286189,5790.978761
Sapindales,bvar.l.d0,0.277636014,5848.499027
Sapindales,bvar.dcst,0.675713564,5735.512879
Sapindales,bvar.l.dcst,0.682490843,5736.12704
Sapindales,bcst.dvar,0.687847778,5736.641626
Sapindales,bcst.dvar.l,0.682554299,5736.123638
Sapindales,bvar.dvar,0.638208614,5733.168668
Zygophyllales,bcst.d0,0.081070313,415.5112443
Zygophyllales,bcst.dcst,0.417999659,385.4232092
Zygophyllales,bvar.d0,0.161126193,391.7703443
Zygophyllales,bvar.l.d0,0.133521097,388.3088882
Zygophyllales,bvar.dcst,0.161160093,394.0557553
Zygophyllales,bvar.l.dcst,0.401112526,387.6487458
Zygophyllales,bcst.dvar,0.40162865,387.6493056
Zygophyllales,bcst.dvar.l,0.401097631,387.6487511
Zygophyllales,bvar.dvar,0.385350789,390.1276509
Vitales,bcst.d0,0.142453125,445.4461473
Vitales,bcst.dcst,3.731421522,347.6227687
Vitales,bvar.d0,0.363306567,395.915845
Vitales,bvar.l.d0,0.221077448,410.6484029
Vitales,bvar.dcst,4.203513313,349.101247
Vitales,bvar.l.dcst,4.204629302,349.0937704
Vitales,bcst.dvar,4.212999757,349.0859205
Vitales,bcst.dvar.l,4.209685923,349.0937551
Vitales,bvar.dvar,11.21427939,335.5821496
