"Clade","Model","lamda","AICc","AW"
"Brassicales","bcst.d0",0.156375,3970.276427,1.59941659066442e-62
"Brassicales","bcst.dcst",0.776334514,3690.626521,0.0849507303310484
"Brassicales","bvar.d0",0.26526144,3759.347153,1.01548025090282e-16
"Brassicales","bvar.l.d0",0.220525358,3787.571239,7.54899396828869e-23
"Brassicales","bvar.dcst",0.707917183,3688.800788,0.211650842009138
"Brassicales","bvar.l.dcst",0.70951715,3688.832305,0.208341684375696
"Brassicales","bcst.dvar",0.71047334,3688.834568,0.208106079078627
"Brassicales","bcst.dvar.l",0.709453031,3688.832345,0.208337517583687
"Brassicales","bvar.dvar",0.701490164,3690.781586,0.0786131466218031
"Celastrales","bcst.d0",0.1951875,1520.073508,5.1773009665588e-37
"Celastrales","bcst.dcst",1.026946337,1362.929404,0.00687878962420393
"Celastrales","bvar.d0",0.366503292,1372.752479,5.06358836872837e-05
"Celastrales","bvar.l.d0",0.264455558,1408.833707,7.40490145472666e-13
"Celastrales","bvar.dcst",0.843496381,1355.533439,0.277667737422209
"Celastrales","bvar.l.dcst",0.374646656,1379.997317,1.35288789445202e-06
"Celastrales","bcst.dvar",0.861120314,1355.920906,0.228764184220315
"Celastrales","bcst.dvar.l",0.852394773,1355.740571,0.250349817489359
"Celastrales","bvar.dvar",0.784016697,1355.856191,0.236287482471592
"Crossosomatales","bcst.d0",0.060205078,201.8774253,0.000140177257942766
"Crossosomatales","bcst.dcst",0.307476344,185.8034831,0.433600485979157
"Crossosomatales","bvar.d0",0.140932538,189.8818099,0.0564276999005096
"Crossosomatales","bvar.l.d0",0.10486435,191.5032256,0.0250845550710306
"Crossosomatales","bvar.dcst",0.324055344,188.369016,0.120224054285223
"Crossosomatales","bvar.l.dcst",0.324291156,188.3675386,0.120312896603994
"Crossosomatales","bcst.dvar",0.324588248,188.3669141,0.120350470171826
"Crossosomatales","bcst.dvar.l",0.324524603,188.3675252,0.120313702703102
"Crossosomatales","bvar.dvar",0.140234318,195.4161135,0.003545958027216
"Cucurbitales","bcst.d0",0.206648438,3248.12276,1.59233573725805e-66
"Cucurbitales","bcst.dcst",0.902701941,2982.958975,6.04809988891368e-09
"Cucurbitales","bvar.d0",0.354672848,2965.894557,3.06980113549327e-05
"Cucurbitales","bvar.l.d0",0.263721057,3045.450585,1.6283143908153e-22
"Cucurbitales","bvar.dcst",0.354055071,2967.923768,1.11294235977385e-05
"Cucurbitales","bvar.l.dcst",0.389944666,2964.218455,7.09694055042458e-05
