Clade,Model,lamda,AICc
Brassicales,bvar.dcst,0.707917183,3688.800788
Celastrales,bvar.dcst,0.843496381,1355.533439
Crossosomatales,bcst.dcst,0.307476344,185.8034831
Cucurbitales,bvar.dvar,0.623293993,2945.123512
Fabales,bcst.dcst,1.30515841,14884.70343
Fagales,bcst.dcst,2.522276737,1581.854582
Geraniales,bcst.dcst,1.175638511,853.5773013
Huerteales,bcst.d0,0.03403125,53.34170594
Malpighiales,bvar.dvar,0.943489204,13935.88239
Malvales,bvar.dcst,1.499222819,5011.102769
Myrtales,bcst.dcst,2.318292149,4809.075597
Oxalidales,bcst.dvar.l,1.485597464,753.6033075
Picramniales,bcst.d0,0.077132813,33.29763549
Rosales,bvar.dvar,4.609889289,4950.388931
Sapindales,bvar.dvar,0.638208614,5733.168668
Zygophyllales,bcst.dcst,0.417999659,385.4232092
Vitales,bvar.dvar,11.21427939,335.5821496
