Clade,Model,lamda,AICc
Brassicales,bcstd0,0.072878906,44195.08176
Brassicales,bvar.d0,0.05556501,43819.76402
Brassicales,bvar.l.d0,0.047073212,43736.32198
Celastrales,bcstd0,0.06946875,11339.93738
Celastrales,bvar.d0,0.060080797,11305.8838
Celastrales,bvar.l.d0,0.052168846,11284.71122
Crossosomatales,bcstd0,0.096011719,550.3687326
Crossosomatales,bvar.d0,0.141934382,533.4103666
Crossosomatales,bvar.l.d0,0.128988799,532.7036932
Cucurbitales,bcstd0,0.064265625,24950.91142
Cucurbitales,bvar.d0,0.032298197,24198.35443
Cucurbitales,bvar.l.d0,0.031286591,24373.82087
Fabales,bcstd0,0.042767578,201015.8026
Fabales,bvar.d0,0.04144531,200995.2753
Fabales,bvar.l.d0,0.041429689,200996.0848
Fagales,bcstd0,0.068203125,15339.85817
Fagales,bvar.d0,0.0589795,15290.62162
Fagales,bvar.l.d0,0.047418648,15247.38435
Geraniales,bcstd0,0.066585938,7644.139991
Geraniales,bvar.d0,0.05264541,7586.156061
Geraniales,bvar.l.d0,0.096525307,7219.136959
Huerteales,bcstd0,0.058816406,201.4799001
Huerteales,bvar.d0,0.137470163,191.6219807
Huerteales,bvar.l.d0,0.09830156,189.0624804
Malpighiales,bcst.d0,0.063421875,162063.7479
Malpighiales,bvar.d0,0.04601888,159722.4805
Malpighiales,bvar.l.d0,0.018280223,157435.2067
Malvales,bcst.d0,0.094886719,52668.84267
Malvales,bvar.d0,0.064399072,51217.23025
Malvales,bvar.l.d0,-0.001315038,49127.59102
Myrtales,bcst.d0,0.050484375,125889.5715
Myrtales,bvar.d0,0.02328499,119260.9675
Myrtales,bvar.l.d0,-0.002996869,116364.9189
Oxalidales,bcst.d0,0.066128906,16740.3727
Oxalidales,bvar.d0,0.055110439,16670.14576
Oxalidales,bvar.l.d0,0.049770114,16649.34027
Picramniales,bcst.d0,0.024626953,453.6749363
Picramniales,bvar.d0,-0.003994956,393.1063323
Picramniales,bvar.l.d0,0.020618926,381.9055046
Rosales,bcst.d0,0.027421875,125274.7839
Rosales,bvar.d0,0.020136591,124562.9518
Rosales,bvar.l.d0,0.050455213,123451.0228
Sapindales,bcst.d0,0.061769531,42588.67352
Sapindales,bvar.d0,0.043339773,41993.24135
Sapindales,bvar.l.d0,0.02693033,41719.72204
Vitales,bcst.d0,0.033380859,11141.7598
Vitales,bvar.d0,0.004875933,10011.34972
Vitales,bvar.l.d0,0.049829491,10250.63312
Zygophyllales,bcst.d0,0.055863281,2853.687706
Zygophyllales,bvar.d0,0.03660191,2810.779006
Zygophyllales,bvar.l.d0,0.025775178,2800.561744
