Clade,Model,dataset,AW
Brassicales,bvar.dcst,9k-tip,0.211650842
Celastrales,bvar.dcst,9k-tip,0.277667737
Crossosomatales,bcst.dcst,9k-tip,0.433600486
Cucurbitales,bvar.dvar,9k-tip,0.994226549
Fabales,bcst.dcst,9k-tip,0.379362838
Fagales,bcst.dcst,9k-tip,0.44699296
Geraniales,bcst.dcst,9k-tip,0.428019317
Huerteales,bcst.d0,9k-tip,0.668705541
Malpighiales,bvar.dvar,9k-tip,0.288842985
Malvales,bvar.dcst,9k-tip,0.286749465
Myrtales,bcst.dcst,9k-tip,0.240444004
Oxalidales,bcst.dvar.l,9k-tip,0.532090368
Picramniales,bcst.d0,9k-tip,0.729009087
Rosales,bvar.dvar,9k-tip,0.959309712
Sapindales,bvar.dvar,9k-tip,0.514699628
Zygophyllales,bcst.dcst,9k-tip,0.421501949
Vitales,bvar.dvar,9k-tip,0.992964307
Brassicales,bvar.dvar,20k-tip,0.806240422
Celastrales,bvar.dcst,20k-tip,0.287387787
Crossosomatales,bcst.dcst,20k-tip,0.425838041
Cucurbitales,bvar.dvar,20k-tip,0.838198515
Fabales,bcst.dcst,20k-tip,0.463837319
Fagales,bcst.dcst,20k-tip,0.477805345
Geraniales,bvar.dvar,20k-tip,0.472501283
Huerteales,bcst.d0,20k-tip,0.582339853
Malpighiales,bvar.dcst,20k-tip,0.213724411
Malvales,bvar.dcst,20k-tip,0.323555626
Myrtales,bvar.dcst,20k-tip,0.297717864
Oxalidales,bcst.dvar.l,20k-tip,0.376935691
Picramniales,bcst.d0,20k-tip,0.731593457
Rosales,bcst.dcst,20k-tip,0.442117347
Sapindales,bvar.dvar,20k-tip,0.924215832
Zygophyllales,bcst.dcst,20k-tip,0.40309064
Vitales,bcst.dcst,20k-tip,0.275393895
Brassicales,bvar.l.d0,100k-tip,0.73157339
Celastrales,bvar.l.d0,100k-tip,0.73189857
Crossosomatales,bvar.l.d0,100k-tip,0.358186352
Cucurbitales,bvar.l.dcst,100k-tip,1
Fabales,bvar.d0,100k-tip,0.414739976
Fagales,bvar.l.d0,100k-tip,0.731627389
Geraniales,bvar.l.d0,100k-tip,1
Huerteales,bcst.dvar.l,100k-tip,0.504223524
Malpighiales,bvar.l.d0,100k-tip,0.730930762
Malvales,bvar.l.d0,100k-tip,0.731251215
Myrtales,bvar.l.dcst,100k-tip,1
Oxalidales,bvar.l.d0,100k-tip,0.731585562
Picramniales,bvar.l.dcst,100k-tip,0.996585406
Rosales,bvar.dvar,100k-tip,1
Sapindales,bvar.l.d0,100k-tip,0.731352412
Zygophyllales,bvar.l.d0,100k-tip,0.72948099
Vitales,bvar.dvar,100k-tip,0.831374069
