"Clade","Model","lamda","AICc","AW"
"Brassicales","bvar.dvar",0.942114849,10307.21414,0.806240422433666
"Celastrales","bvar.dcst",0.743580506,1808.792907,0.287387786856711
"Crossosomatales","bcst.dcst",0.296815351,186.5197702,0.425838041461729
"Cucurbitales","bvar.dvar",0.501419983,5275.452952,0.838198514902428
"Fabales","bcst.dcst",1.290319184,31594.91335,0.46383731854391
"Fagales","bcst.dcst",2.026016562,2539.531762,0.477805345148278
"Geraniales","bvar.dvar",0.811421112,1725.017579,0.472501282713954
"Huerteales","bcst.d0",0.036351563,52.48162605,0.582339852790517
"Malpighiales","bvar.dcst",0.975836858,24684.04826,0.213724410844538
"Malvales","bvar.dcst",1.37220089,7881.960589,0.323555626013485
"Myrtales","bvar.dcst",2.412382453,8268.007868,0.297717864396369
"Oxalidales","bcst.dvar.l",1.021409187,1388.610204,0.376935691076651
"Picramniales","bcst.d0",0.0765,33.33897961,0.731593457267508
"Rosales","bcst.dcst",3.055990467,9485.42733,0.442117346873641
"Sapindales","bvar.dvar",0.531330064,8847.786367,0.924215831893114
"Zygophyllales","bcst.dcst",0.263462643,582.4746296,0.403090639591137
"Vitales","bcst.dcst",1.514110359,832.3045134,0.27539389450906
