Order,Model,rate,tree
Brassicales,bvar.dcst,0.7079172,9k-tip
Celastrales,bvar.dcst,0.8434964,9k-tip
Crossosomatales,bcst.dcst,0.3074763,9k-tip
Cucurbitales,bvar.dvar,0.623294,9k-tip
Fabales,bcst.dcst,1.3051584,9k-tip
Fagales,bcst.dcst,2.5222767,9k-tip
Geraniales,bcst.dcst,1.1756385,9k-tip
Huerteales,bcst.d0,0.0340313,9k-tip
Malpighiales,bvar.dvar,0.9434892,9k-tip
Malvales,bvar.dcst,1.4992228,9k-tip
Myrtales,bcst.dcst,2.3182921,9k-tip
Oxalidales,bcst.dvar.l,1.4855975,9k-tip
Picramniales,bcst.d0,0.0771328,9k-tip
Rosales,bvar.dvar,4.6098893,9k-tip
Sapindales,bvar.dvar,0.6382086,9k-tip
Zygophyllales,bcst.dcst,0.4179997,9k-tip
Vitales,bvar.dvar,11.214279,9k-tip
Brassicales,bvar.dvar,0.9421,20k-tip
Celastrales,bvar.dcst,0.7436,20k-tip
Crossosomatales,bcst.dcst,0.2968,20k-tip
Cucurbitales,bvar.dvar,0.5014,20k-tip
Fabales,bcst.dcst,1.2903,20k-tip
Fagales,bcst.dcst,2.026,20k-tip
Geraniales,bvar.dvar,0.8114,20k-tip
Huerteales,bcst.d0,0.0364,20k-tip
Malpighiales,bvar.dcst,0.9758,20k-tip
Malvales,bvar.dcst,1.3722,20k-tip
Myrtales,bvar.dcst,2.4124,20k-tip
Oxalidales,bcst.dvar.l,1.0214,20k-tip
Picramniales,bcst.d0,0.0765,20k-tip
Rosales,bcst.dcst,3.056,20k-tip
Sapindales,bvar.dvar,0.5313,20k-tip
Zygophyllales,bcst.dcst,0.2635,20k-tip
Vitales,bcst.dcst,1.5141,20k-tip
Brassicales,bvar.l.d0,0.0470732,100k-tip
Celastrales,bvar.l.d0,0.0521688,100k-tip
Crossosomatales,bvar.l.d0,0.1289888,100k-tip
Cucurbitales,bvar.l.dcst,0.0295644,100k-tip
Fabales,bvar.d0,0.0414453,100k-tip
Fagales,bvar.l.d0,0.0474186,100k-tip
Geraniales,bvar.l.d0,0.0965253,100k-tip
Huerteales,bcst.dvar.l,0.2649092,100k-tip
Malpighiales,bvar.l.d0,0.0182802,100k-tip
Malvales,bvar.l.d0,-0.001315,100k-tip
Myrtales,bvar.l.dcst,-0.006568,100k-tip
Oxalidales,bvar.l.d0,0.0497701,100k-tip
Picramniales,bvar.l.dcst,0.0372405,100k-tip
Rosales,bvar.dvar,0.0258025,100k-tip
Sapindales,bvar.l.d0,0.0269303,100k-tip
Zygophyllales,bvar.l.d0,0.0257752,100k-tip
Vitales,bvar.dvar,0.0188394,100k-tip
